categories,source,title,date_text,place,fee,url
🍜 飲食,サツイベ(中央区),Meets!神戸フェア in チカホ,2026年 9月 4日 ～ 9月 5日,札幌駅前通地下歩行空間,0円 「旅する楽しさ、ここで見つける。」をテーマに、飛行機で約2時間の距離にある,https://sapporo.magazine.events/area/chuou-ku/83130.html
🍜 飲食,サツイベ(中央区),六軒村で楽しむ小さな秋のマルシェ,2026年 9月 21日,六軒村しふぉん,0円,https://sapporo.magazine.events/area/toyohira-ku/83209.html
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),ハライチのターン！10周年記念 Zepp TOUR! 北海道公演,2027-09-18 (土),Zepp Sapporo,,https://www.eventernote.com/events/470503
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),「カキンツハルカLive Tour 2027 -AGAIN-」北海道,2027-01-17 (日),Zepp Sapporo,,https://www.eventernote.com/events/483933
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),ももいろクローバーZ クリスマスツアー2026 「ももクリDelivery」12/3,2026-12-03 (木),Zepp Sapporo,,https://www.eventernote.com/events/490568
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),“Bad For Education Tour II (2026)” Zepp Sapporo Day2,2026-11-18 (水),Zepp Sapporo,,https://www.eventernote.com/events/490235
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),“Bad For Education Tour II (2026)” Zepp Sapporo Day1,2026-11-17 (火),Zepp Sapporo,,https://www.eventernote.com/events/490234
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),乃木坂46 6期⽣全国ツアー2026 北海道公演 Day.2,2026-11-11 (水),Zepp Sapporo,,https://www.eventernote.com/events/489958
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),乃木坂46 6期⽣全国ツアー2026 北海道公演 Day.1,2026-11-10 (火),Zepp Sapporo,,https://www.eventernote.com/events/489957
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),04 Limited Sazabys ONE MAN TOUR 2026【北海道】,2026-11-01 (日),Zepp Sapporo,,https://www.eventernote.com/events/475040
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),THE YELLOW MONKEY TOUR 2026 THE COUNTDOWN 〜60分1本勝負〜 北海道公演,2026-09-26 (土),Zepp Sapporo,,https://www.eventernote.com/events/480274
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),【中止】 岡崎体育 10th Anniversary Tour “Zepp10連単総流し” ＜ウエスチャンピオンシップ＞,2026-09-20 (日),Zepp Sapporo,,https://www.eventernote.com/events/471437
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),FICTIONAL JAPAN ROAD 2026 北海道,2026-09-13 (日),Zepp Sapporo,,https://www.eventernote.com/events/490707
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),LOVEBITES「OUTSTANDING TOUR - JAPAN 2026」北海道公演,2026-09-11 (金),Zepp Sapporo,,https://www.eventernote.com/events/471030
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),RADWIMPS Official Fan Club Tour 2026 “ユーリンチー” 札幌,2026-08-25 (火),Zepp Sapporo,,https://www.eventernote.com/events/480076
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),ブルアカ 5th Anniversary DJふぇす！つあー☆ in Sapporo,2026-08-15 (土),Zepp Sapporo,,https://www.eventernote.com/events/478849
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),Vaundy VAWS one man live 2026 at Zepp Sapporo 2026/08/13,2026-08-13 (木),Zepp Sapporo,,https://www.eventernote.com/events/482648
