categories,source,title,date_text,place,fee,url
🎵 音楽ライブ,イベンターノート(Zepp Sapporo),SCANDAL FINAL TOUR 2026-2027 「SCANDALの47都道府県ツアー」北海道,2027-04-04 (日),Zepp Sapporo,,https://www.eventernote.com/events/492297
🏬 デパート催事,サッポロファクトリー(催事),『JOPT 2026 Sapporo #02』,2026/9/18(金)～2026/9/23(水・祝),サッポロファクトリー,,https://sapporofactory.jp/event/detail/641
