categories,source,title,date_text,place,fee,url
🛍️ ポップアップストア,大丸札幌店(SHOP BLOG),2026.09.17 3F ポムポムプリン、デビュー 30周年！〈アナ スイ〉とのスペシャルコラボレーションアイテムのご紹介 婦人洋品売場,2026.09.17,大丸札幌店,,https://shopblog.dmdepart.jp/sapporo/detail/?cd=136638&scd=000969
🛍️ ポップアップストア,大丸札幌店(SHOP BLOG),2026.09.16 3F 鎌倉生まれのユニセックスブランド〈キーメモリー〉POP-UP SHOP 婦人洋品売場,2026.09.16,大丸札幌店,,https://shopblog.dmdepart.jp/sapporo/detail/?cd=136635&scd=000969
🎬 映画,映画館(上映中),歓迎来龍餐館／龍飯店へようこそ,,札幌シネマフロンティア（中央区）で上映中,,https://press.moviewalker.jp/mv94254/
🍿 公開予定映画,映画館(公開予定・全国版),劇場版 進撃の巨人 前編〜紅蓮の弓矢〜,2026年10月23日公開,全国公開予定（アニメ）　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv55893/
