categories,source,title,date_text(開催日),published_date(公開日),place,fee,url
🎪 中心部のイベント情報,サツイベ(中央区),ナイト交流会・光るピックルボール（RUSUTSU PICKLEBALL フェスティバル 2026）,2026年 10月 3日,,ルスツリゾート,"4,000円",https://sapporo.magazine.events/category/sports/83637.html
🎪 中心部のイベント情報/🎵 音楽ライブ,手動登録(年次フェス),桑田佳祐 夏祭りツアー 2026 supported by カンロ 北海道公演,2026年8月27日(木)・28日(金),,真駒内セキスイハイムアイスアリーナ,,https://southernallstars.jp/feature/kuwata2026live#sapporo2026
🎬 映画,手動登録(年次フェス),映画『超かぐや姫！』特別フォーマット版＆通常版 復活上映,2026年9月18日(金)〜,,札幌市内の映画館（中央区）,,https://www.cho-kaguyahime.com/theater/
