categories,source,title,date_text,place,fee,url
🎪 中心部のイベント情報,サツイベ(中央区),北海道半導体ジョブフェスティバル2026秋,2026年 10月 3日,TKPガーデンシティPREMIUM札幌大通,0円 中学生から参加できる、半導体関連企業の「合同企業説明会」および「業界研究」,https://sapporo.magazine.events/area/chuou-ku/83614.html
🎪 中心部のイベント情報,サツイベ(中央区),札幌ラグタイムフェスティバル2026,2026年 9月 20日,紙ひこうき,"3,000円 コロナ禍を挟み、6年ぶりとなる「札幌ラグタイムフェスティバル202",https://sapporo.magazine.events/area/chuou-ku/83212.html
🖼️ 展示会,サツイベ(中央区),ひょっところ展,2026年 9月 15日 ～ 9月 24日,Cafe & Bar おぱぁる,0円 ひょっとこは、日々の生活を送る中で、悲しいこと嬉しいことがあった時でもクス,https://sapporo.magazine.events/area/chuou-ku/83302.html
🖼️ 展示会,サツイベ(中央区),はじめての「かわいい音楽会」（2026）,2026年 10月 2日,札幌市時計台ホール,0円 この秋、札幌時計台のホールを貸し切って「かわいい音楽会」を開催します！今年,https://sapporo.magazine.events/area/chuou-ku/83513.html
🖼️ 展示会,サツイベ(中央区),帝国の燃料：カレー、少女、そして戦場の胃袋 チェン・チンヤオ個展,2026年 9月 23日 ～ 10月 3日,北海道教育大学アーツ＆スポーツ文化複合施設 HUG,0円 本展は、台湾の現代美術家・陳擎耀（チェン・チンヤオ）の新作シリーズ「戦争と,https://sapporo.magazine.events/area/chuou-ku/83655.html
🎪 中心部のイベント情報,狸小路商店街,創成川公園サンキューフェスティバル,2023年9月1日(金）,狸小路商店街,,https://tanukikoji.or.jp/news-event/202308221547/
