categories,source,title,date_text,place,fee,url
🛍️ ポップアップストア/🏬 デパート催事,サッポロファクトリー(催事),Chevon POP-UP SHOP ♯2,2026/9/26（土）～10/4（日）,サッポロファクトリー,,https://sapporofactory.jp/event/detail/646
🎬 映画,映画館(上映中),「メイドインアビス 烈日の黄金郷」【前編】1話～6話,,ローソン・ユナイテッドシネマ札幌（中央区）で上映中,,https://press.moviewalker.jp/mv94197/
🎬 映画,映画館(上映中),超かぐや姫！,,ローソン・ユナイテッドシネマ札幌・TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv91585/
🎬 映画,映画館(上映中),レッド・サン,,札幌シネマフロンティア（中央区）で上映中,,https://press.moviewalker.jp/mv12199/
🎬 映画,映画館(上映中),劇場版 転生したらスライムだった件 蒼海の涙編 TOHOシネマズ,,TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv87487/
🍿 公開予定映画,映画館(公開予定・全国版),憎しみ 4K,2026年10月9日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94302/
🍿 公開予定映画,映画館(公開予定・全国版),ブルネロ 静かなる先見者,2026年11月6日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94116/
