categories,source,title,date_text,place,fee,url
🎬 映画,映画館(上映中),オデュッセイア,,ローソン・ユナイテッドシネマ札幌（中央区）で上映中,,https://press.moviewalker.jp/mv90314/
🎬 映画,映画館(上映中),カーズ,,札幌シネマフロンティア・TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv35352/
🎬 映画,映画館(上映中),スター・ウォーズ／マンダロリアン・アンド・グローグー TOHOシネマズ,,TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv85262/
🎮 アニメ/🎬 映画,映画館(上映中),劇場版アイドリッシュセブン LIVE 4bit BEYOND THE PERiOD DAY1 TOHOシネマズ,,TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv81618/
🎮 アニメ/🎬 映画,映画館(上映中),劇場版アイドリッシュセブン LIVE 4bit BEYOND THE PERiOD DAY2 TOHOシネマズ,,TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv81617/
