categories,source,title,date_text,place,fee,url
🎵 音楽ライブ,イベンターノート(札幌文化芸術劇場hitaru),onちゃん！6チャン！アイドルまつり 10/4,2026-10-04 (日),札幌文化芸術劇場hitaru,,https://www.eventernote.com/events/491557
🎵 音楽ライブ,イベンターノート(札幌文化芸術劇場hitaru),onちゃん！6チャン！アイドルまつり 10/3 2部,2026-10-03 (土),札幌文化芸術劇場hitaru,,https://www.eventernote.com/events/491556
🎵 音楽ライブ,イベンターノート(札幌文化芸術劇場hitaru),onちゃん！6チャン！アイドルまつり 10/3 1部,2026-10-03 (土),札幌文化芸術劇場hitaru,,https://www.eventernote.com/events/491555
🎬 映画,映画館(上映中),宝塚歌劇 宙組東京宝塚劇場公演『黒蜥蜴』『Diamond IMPULSE（ダイヤモンド インパルス）』千秋楽 ライブ中継 TOHOシネマズ,,TOHOシネマズすすきの（中央区）で上映中,,https://press.moviewalker.jp/mv94203/
🍿 公開予定映画,映画館(公開予定・全国版),クイーン：ブダペスト,2026年10月7日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv94178/
🍿 公開予定映画,映画館(公開予定・全国版),ゴジラ-0.0,2026年11月3日公開,全国公開予定　※札幌での上映は劇場発表をご確認ください,,https://press.moviewalker.jp/mv87932/
